Participant003-1,Participant006-2,Participant013-1,Participant021-1,Participant022-1,Participant026-1,Participant035-2,Participant039-1,Participant042-2,Participant046-1,Participant047-1,Participant051-2,Participant054-1,Participant062-2,Participant068-2,Participant079-1,Participant081-2,Participant092-2,Participant093-1,Participant096-1,Participant110-1,Participant120-2,Participant123-2,Participant125-2,Participant126-1,Participant129-1,Participant132-2,Participant136-1,Participant140-1,Participant164-1,Participant166-1,Participant175-2,Participant180-2,Participant184-2,Participant195-2,Participant205-1,Participant209-1,Participant211-1,Participant219-2,Participant220-2,Participant221-2,Participant224-1,Participant228-2,Participant232-2,Participant233-2,Participant235-2,Participant242-2,Participant244-2,Participant246-2,Participant248-1
Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response
Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1
96,47,30,46,75,14,54,50,73,23,64,65,24,37,55,88,35,20,43,31,40,15,56,53,27,59,56,73,41,46,56,10,51,52,32,6,43,18,18,16,58,16,48,23,26,57,79,29,32,30
133,53,29,43,68,0,59,44,96,20,71,51,39,21,50,88,0,22,49,41,49,14,54,31,12,54,44,85,41,52,103,12,31,31,30,12,72,28,29,30,80,21,35,22,33,35,83,18,49,32
120,74,57,55,79,0,38,108,108,30,97,131,37,36,62,86,64,20,43,40,51,20,46,46,11,56,43,92,46,63,103,14,39,52,5,19,83,32,21,16,57,22,64,6,27,26,78,30,47,29
137,72,66,41,83,0,63,104,107,45,87,97,37,32,33,80,52,19,43,47,41,22,47,32,12,44,49,85,47,67,113,13,45,55,0,22,88,34,27,24,58,28,70,25,34,37,77,40,27,28
130,58,69,56,89,0,59,101,34,54,89,145,35,27,45,87,95,25,39,50,44,35,54,37,14,43,42,87,43,92,102,12,42,54,24,22,83,58,29,14,61,36,71,31,35,51,82,42,23,35

Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2
39,24,19,17,21,0,8,32,7,10,27,80,49,12,31,5,41,15,9,27,18,13,45,17,4,6,6,4,9,15,27,10,19,22,14,12,27,9,16,17,15,5,65,41,5,20,57,22,7,7
