Participant007-4,Participant014-4,Participant016-3,Participant024-4,Participant029-3,Participant038-3,Participant045-3,Participant049-4,Participant056-3,Participant059-3,Participant060-3,Participant061-3,Participant065-3,Participant067-4,Participant069-4,Participant071-3,Participant080-3,Participant082-4,Participant084-4,Participant086-3,Participant087-3,Participant090-4,Participant094-3,Participant101-4,Participant103-3,Participant106-4,Participant107-4,Participant111-3,Participant118-4,Participant121-4,Participant128-4,Participant134-4,Participant135-3,Participant137-4,Participant138-4,Participant143-3,Participant144-3,Participant148-3,Participant152-4,Participant155-3,Participant162-3,Participant169-4,Participant170-3,Participant174-3,Participant176-3,Participant178-3,Participant179-3,Participant185-4,Participant189-3,Participant194-3,Participant198-4,Participant201-4,Participant204-3,Participant206-3
Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response
Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1
56,36,15,12,38,78,81,24,36,37,33,27,42,36,49,22,46,63,30,1,51,44,12,46,55,24,25,18,32,53,37,40,32,61,85,29,65,16,23,22,47,42,46,54,68,42,13,42,68,31,80,64,96,39
59,0,14,17,45,85,64,44,44,28,47,33,60,44,60,42,65,74,35,0,57,68,20,41,19,19,31,18,45,45,32,40,45,54,85,23,72,0,16,33,48,49,61,72,47,60,1,41,63,47,70,58,132,35
49,0,10,16,39,103,38,34,39,33,52,32,71,46,49,50,87,46,41,4,48,0,24,36,17,24,32,15,47,52,35,48,51,57,85,39,76,26,5,12,41,52,62,72,80,110,12,45,57,68,59,64,155,38
53,12,15,15,44,96,34,39,0,25,52,26,73,36,46,52,93,117,34,56,47,0,26,36,34,27,24,14,40,63,36,39,66,49,90,34,74,54,8,11,48,44,56,72,85,145,39,43,62,54,67,61,120,45
48,0,9,15,40,115,31,41,4,33,51,33,79,17,59,55,97,116,42,59,52,67,10,42,25,20,20,17,42,54,32,46,55,49,71,41,71,50,32,15,49,51,54,77,80,124,34,46,57,54,62,62,115,45

Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2
9,4,4,5,6,3,6,5,4,16,7,33,4,38,10,6,47,10,14,0,16,59,5,6,7,6,14,3,12,8,6,7,9,5,7,25,16,20,5,5,18,12,10,15,4,51,16,12,1,10,7,2,29,11
7,17,1,0,0,0,0,0,0,0,0,4,0,24,0,0,0,0,0,0,0,43,0,0,1,2,7,0,19,0,0,0,0,0,0,0,0,0,1,2,7,0,12,0,0,0,5,0,0,0,0,0,0,1
1,15,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,8,0,1,2,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,18,0,0,0,0,1,0,0,0,0,0,0,23,0,0,0,0,0,3,1,1,3,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,5,2,0,6,0,0,0,0,0,0,1,0,0,0,0
1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,15,0,0,0,0,0,0,0,0,0,0,0,1,0

Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3
14,0,13,7,0,15,20,7,1,5,24,7,24,5,15,30,25,27,0,0,7,32,0,13,0,8,7,4,28,10,2,10,0,4,1,9,18,0,4,6,14,6,19,26,42,24,12,7,5,0,0,8,34,18
7,0,18,6,0,5,9,10,0,3,31,8,16,7,4,50,30,10,0,0,0,55,0,0,0,9,4,0,31,1,0,8,40,0,42,5,21,0,11,9,19,0,3,7,19,1,40,0,0,20,0,0,24,8
6,3,21,5,0,4,11,0,0,0,23,0,29,21,5,15,25,5,0,0,16,24,0,1,0,0,12,2,74,0,6,8,30,0,12,4,5,0,12,5,22,0,0,13,27,0,39,0,0,11,0,0,23,0
6,0,3,7,0,2,12,0,3,4,7,6,45,18,9,30,16,4,6,0,0,45,0,2,0,4,8,1,94,0,0,3,28,0,0,0,2,0,4,6,24,0,0,11,15,1,6,0,0,22,0,0,0,0
0,0,2,11,0,2,3,0,0,1,9,0,1,0,3,63,7,3,6,0,26,56,0,4,0,4,18,0,61,0,0,4,32,0,0,0,2,0,1,4,25,0,0,6,40,23,32,0,0,28,0,0,8,0

Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response
Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1
16,0,2,0,0,11,13,13,0,0,12,0,13,2,9,18,17,16,6,0,0,26,18,3,3,0,8,0,4,0,0,12,17,0,3,14,6,2,11,12,3,0,11,10,24,10,3,8,0,19,0,0,24,3
18,0,0,0,0,0,33,0,0,0,2,0,12,0,0,2,9,17,0,0,0,12,4,0,0,5,7,0,2,0,0,0,11,0,0,10,0,0,10,0,0,0,0,0,14,27,0,0,0,5,0,0,10,5
11,0,1,0,0,0,0,1,0,0,2,0,8,0,0,0,5,61,0,0,0,0,8,0,0,0,4,0,3,0,0,0,14,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,6,3,0,0,2
3,0,0,0,0,3,6,4,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,12,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,9,3
2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,8,7,0,0,3,0,0,0,0,0,0,0,0,0,0,11,0,0,0,2

Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2
45,0,9,10,26,105,24,39,46,10,55,0,74,0,45,51,43,102,19,0,30,39,33,37,27,17,15,20,36,30,20,34,58,52,71,21,65,17,29,19,34,34,51,67,90,37,37,31,55,74,42,62,122,34
39,0,11,14,45,108,20,45,49,27,66,28,73,0,44,46,87,115,24,0,47,55,38,33,40,13,22,23,28,36,30,40,67,54,112,51,79,38,12,29,36,49,53,67,87,126,15,40,61,77,64,63,104,39
30,0,12,20,48,118,18,43,46,23,66,36,81,0,55,64,87,112,21,34,40,117,36,29,17,23,31,25,38,48,23,34,71,49,105,47,78,24,0,33,48,28,64,62,117,123,0,46,58,75,69,62,135,39
26,14,16,25,40,99,25,44,46,27,66,33,72,11,51,71,85,107,45,43,35,76,14,30,7,23,17,26,46,60,24,34,60,58,110,52,73,28,7,23,27,41,58,70,118,132,24,54,53,39,72,59,100,40
24,32,12,30,3,99,28,42,42,30,64,29,73,35,54,68,78,110,48,3,49,67,0,28,3,20,16,26,76,45,13,37,73,48,102,38,72,63,5,30,7,45,67,87,130,111,20,53,53,41,70,57,125,36

Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3
