Participant002-6,Participant004-5,Participant005-6,Participant008-6,Participant027-5,Participant031-5,Participant032-5,Participant034-6,Participant037-5,Participant041-6,Participant044-5,Participant050-5,Participant052-6,Participant053-6,Participant063-5,Participant066-6,Participant070-6,Participant076-6,Participant088-6,Participant095-5,Participant098-6,Participant104-5,Participant105-6,Participant108-5,Participant113-5,Participant114-6,Participant117-5,Participant146-5,Participant150-5,Participant157-5,Participant158-6,Participant161-5,Participant168-6,Participant173-6,Participant177-5,Participant186-5,Participant196-6,Participant200-5,Participant215-6,Participant222-6,Participant226-5,Participant229-6,Participant247-5,Participant249-5,Participant252-6,Participant255-6,Participant258-6,Participant260-6,Participant261-6,Participant262-5,Participant264-5
Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response
Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1
35,38,33,21,45,24,18,41,36,36,64,91,74,26,75,30,25,45,35,64,90,21,17,46,15,29,61,10,65,39,24,46,34,61,21,46,59,20,34,11,72,75,9,33,59,22,39,72,33,39,55
23,40,50,24,31,33,16,58,33,104,117,86,69,7,91,34,29,46,38,87,86,40,24,51,19,36,52,13,106,35,26,68,42,65,28,36,54,15,48,14,95,97,4,39,54,31,50,106,37,58,93
24,38,48,29,39,46,15,64,29,88,121,69,74,2,91,43,27,47,10,71,87,63,14,44,20,35,63,18,106,46,25,58,22,66,34,29,70,19,48,14,103,126,0,36,49,28,48,132,36,73,110
22,42,51,47,37,44,14,47,30,94,123,25,66,6,98,45,23,49,35,87,84,64,12,50,19,36,63,15,132,40,23,54,30,73,28,36,51,27,38,14,118,113,0,50,48,42,48,152,33,31,104
17,39,51,52,45,45,13,57,21,106,118,0,58,2,99,54,29,48,38,86,77,64,14,52,20,33,48,18,95,30,24,50,26,92,21,38,59,24,35,14,118,123,0,48,59,38,55,117,37,65,65

Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2
5,7,9,4,3,4,6,5,12,8,26,3,20,9,37,16,6,4,43,75,15,3,9,5,7,8,31,6,5,15,6,3,2,10,6,8,10,3,3,9,10,6,0,10,16,14,26,4,4,11,5
0,0,1,0,2,0,0,0,0,2,0,0,0,2,0,0,0,0,8,3,0,0,0,0,0,4,0,1,0,1,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
3,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,11,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0

